zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
85039,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.49,-112.28,Phoenix,0
85040,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,480,623",NA,US,33.4,-112.02,Phoenix,27570
85041,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.38,-112.11,Phoenix,56620
85042,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"623,480,602",NA,US,33.37,-112.03,Phoenix,38390
85043,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.42,-112.2,Phoenix,31460
85044,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,520,480",NA,US,33.35,-112.02,Phoenix,35650
85045,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602,520",NA,US,33.3,-112.1,Phoenix,7510
85046,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.62,-112,Phoenix,725
85048,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,520,602",NA,US,33.31,-112.06,Phoenix,32180
85050,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.69,-112,Phoenix,29100
85051,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.55,-112.13,Phoenix,37840
85053,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"623,602",NA,US,33.62,-112.13,Phoenix,25690
85054,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.67,-111.95,Phoenix,6470
85055,STANDARD,1,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-111.97,Phoenix,0
85060,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-111.98,Phoenix,995
85061,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.51,-112.12,Phoenix,324
85062,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.46,-111.98,Phoenix,0
85063,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.17,Phoenix,1705
85064,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.03,Phoenix,1453
85065,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.43,-112.05,Phoenix,0
85066,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.39,-112.03,Phoenix,1744
85067,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.08,Phoenix,855
85068,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.67,-112.06,Phoenix,976
