zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
55423,STANDARD,0,Minneapolis,"Edina, Richfield",,MN,Hennepin County,America/Chicago,612,NA,US,44.87,-93.28,Minneapolis,34830
55424,STANDARD,0,Minneapolis,"Edina, Saint Louis Park, St Louis Park",,MN,Hennepin County,America/Chicago,"612,952",NA,US,44.91,-93.34,Minneapolis,10100
55425,STANDARD,0,Minneapolis,Bloomington,,MN,Hennepin County,America/Chicago,952,NA,US,44.85,-93.23,Minneapolis,9110
55426,STANDARD,0,Minneapolis,"Golden Valley, Saint Louis Park, St Louis Park",,MN,Hennepin County,America/Chicago,############,NA,US,44.96,-93.37,Minneapolis,23320
55427,STANDARD,0,Minneapolis,"Crystal, Golden Valley, New Hope",,MN,Hennepin County,America/Chicago,############,NA,US,45.01,-93.38,Minneapolis,22700
55428,STANDARD,0,Minneapolis,"Brooklyn Center, Brooklyn Ctr, Brooklyn Park, Crystal, New Hope",,MN,Hennepin County,America/Chicago,763,NA,US,45.06,-93.38,Minneapolis,28210
55429,STANDARD,0,Minneapolis,"Brooklyn Center, Brooklyn Ctr, Brooklyn Park, Crystal",Brooklyn Pk,MN,Hennepin County,America/Chicago,763,NA,US,45.06,-93.34,Minneapolis,27110
55430,STANDARD,0,Minneapolis,"Brooklyn Center, Brooklyn Ctr",,MN,Hennepin County,America/Chicago,############,NA,US,45.07,-93.3,Minneapolis,22220
55431,STANDARD,0,Minneapolis,Bloomington,,MN,Hennepin County,America/Chicago,952,NA,US,44.83,-93.31,Minneapolis,18530
55432,STANDARD,0,Minneapolis,"Fridley, Spring Lake Park, Spring Lk Pk",,MN,Anoka County,America/Chicago,"651,763",NA,US,45.1,-93.25,Minneapolis,29600
55433,STANDARD,0,Minneapolis,Coon Rapids,,MN,Anoka County,America/Chicago,763,NA,US,45.16,-93.31,Minneapolis,31710
55434,STANDARD,0,Minneapolis,Blaine,,MN,Anoka County,America/Chicago,"651,763",NA,US,45.16,-93.25,Minneapolis,29610
55435,STANDARD,0,Minneapolis,"Bloomington, Edina",,MN,Hennepin County,America/Chicago,############,NA,US,44.87,-93.33,Minneapolis,12420
55436,STANDARD,0,Minneapolis,"Edina, Saint Louis Park, St Louis Park",St Louis Pk,MN,Hennepin County,America/Chicago,############,NA,US,44.9,-93.37,Minneapolis,14010
55437,STANDARD,0,Minneapolis,Bloomington,,MN,Hennepin County,America/Chicago,952,NA,US,44.82,-93.34,Minneapolis,18460
55438,STANDARD,0,Minneapolis,Bloomington,,MN,Hennepin County,America/Chicago,952,NA,US,44.82,-93.38,Minneapolis,16580
55439,STANDARD,0,Minneapolis,Edina,,MN,Hennepin County,America/Chicago,############,NA,US,44.88,-93.37,Minneapolis,9640
55440,PO BOX,0,Minneapolis,,Minn,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,1819
55441,STANDARD,0,Minneapolis,"Medicine Lake, Plymouth",,MN,Hennepin County,America/Chicago,############,NA,US,45.01,-93.42,Minneapolis,17080
55442,STANDARD,0,Minneapolis,Plymouth,,MN,Hennepin County,America/Chicago,############,NA,US,45.05,-93.43,Minneapolis,12720
55443,STANDARD,0,Minneapolis,"Brooklyn Center, Brooklyn Ctr, Brooklyn Park",Brooklyn Pk,MN,Hennepin County,America/Chicago,612,NA,US,45.12,-93.34,Minneapolis,35540
55444,STANDARD,0,Minneapolis,"Brooklyn Center, Brooklyn Ctr, Brooklyn Park",Brooklyn Pk,MN,Hennepin County,America/Chicago,"651,763",NA,US,45.1,-93.3,Minneapolis,16870
55445,STANDARD,0,Minneapolis,Brooklyn Park,Brooklyn Pk,MN,Hennepin County,America/Chicago,612,NA,US,45.12,-93.38,Minneapolis,13230
55446,STANDARD,0,Minneapolis,Plymouth,,MN,Hennepin County,America/Chicago,763,NA,US,45.04,-93.49,Minneapolis,26870
55447,STANDARD,0,Minneapolis,Plymouth,,MN,Hennepin County,America/Chicago,############,NA,US,45,-93.49,Minneapolis,20530
55448,STANDARD,0,Minneapolis,Coon Rapids,,MN,Anoka County,America/Chicago,763,NA,US,45.19,-93.3,Minneapolis,27360
55449,STANDARD,0,Minneapolis,Blaine,,MN,Anoka County,America/Chicago,612,NA,US,45.18,-93.18,Minneapolis,31840
55450,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.88,-93.22,Minneapolis,0
55454,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,44.97,-93.23,Minneapolis,5590
55455,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,44.97,-93.23,Minneapolis,80
55458,PO BOX,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,818
55459,PO BOX,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55460,PO BOX,1,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55467,UNIQUE,0,Minneapolis,,Wells Fargo Home Mortgage,MN,Hennepin County,America/Chicago,612,NA,US,44.97,-93.26,Minneapolis,0
55468,UNIQUE,1,Minneapolis,Damark,,MN,Hennepin County,America/Chicago,612,NA,US,44.98,-93.26,Minneapolis,0
55470,PO BOX,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55472,UNIQUE,0,Minneapolis,,Abmps,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55473,PO BOX,1,Minneapolis,"Norwood Young America, Nya",,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55474,UNIQUE,0,Minneapolis,,Ameriprise Financial,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55478,UNIQUE,0,Minneapolis,,Macys,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55479,UNIQUE,0,Minneapolis,,Wells Fargo Bank,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,28
55480,PO BOX,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55483,UNIQUE,0,Minneapolis,,Qwest,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55484,UNIQUE,0,Minneapolis,,Excel Energy,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55485,UNIQUE,0,Minneapolis,,Wells Fargo Bank,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55486,UNIQUE,0,Minneapolis,,Us Bank,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55487,UNIQUE,0,Minneapolis,,Hennepin County Govt Ctr,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,15
55488,UNIQUE,0,Minneapolis,,Minneapolis Tribune,MN,Hennepin County,America/Chicago,612,NA,US,44.96,-93.26,Minneapolis,0
55550,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55551,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55552,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55553,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55554,PO BOX,0,Norwood,,,MN,Carver County,America/Chicago,952,NA,US,44.76,-93.92,Minneapolis,0
55555,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55556,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55557,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55558,UNIQUE,1,Young America,,"Norwood Young America, Young America Corp",MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55559,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55560,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55561,STANDARD,1,Monticello,,,MN,Wright County,America/Chicago,763,NA,US,45.27,-93.8,Minneapolis,0
55562,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55563,STANDARD,1,Monticello,,,MN,Wright County,America/Chicago,763,NA,US,45.27,-93.8,Minneapolis,0
55564,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55565,PO BOX,1,Monticello,,,MN,Wright County,America/Chicago,763,NA,US,45.3,-93.8,Minneapolis,0
55566,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55567,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55568,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55569,PO BOX,0,Osseo,Maple Grove,,MN,Hennepin County,America/Chicago,763,NA,US,45.11,-93.39,Minneapolis,0
55570,PO BOX,1,Maple Plain,,,MN,Hennepin County,America/Chicago,952,NA,US,45,-93.66,Minneapolis,0
55571,PO BOX,1,Maple Plain,,,MN,Hennepin County,America/Chicago,952,NA,US,45,-93.66,Minneapolis,0
55572,PO BOX,0,Rockford,,Greenfield,MN,Wright County,America/Chicago,763,NA,US,45,-93.66,Minneapolis,0
55573,PO BOX,0,Young America,,,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55574,PO BOX,1,Maple Plain,,,MN,Hennepin County,America/Chicago,952,NA,US,45,-93.66,Minneapolis,0
55575,PO BOX,0,Howard Lake,,,MN,Wright County,America/Chicago,320,NA,US,45.05,-94.06,Minneapolis,0
